#    L    TT             EE             TE             PP             TP          
   225    0.55858E+04    0.80060E+00    0.12398E+02    0.24398E+07    0.62569E+03
   226    0.55865E+04    0.82166E+00    0.13902E+02    0.24275E+07    0.62413E+03
   227    0.55866E+04    0.84416E+00    0.15417E+02    0.24152E+07    0.62249E+03
   228    0.55862E+04    0.86808E+00    0.16942E+02    0.24031E+07    0.62078E+03
   229    0.55852E+04    0.89350E+00    0.18476E+02    0.23910E+07    0.61899E+03
   230    0.55835E+04    0.92043E+00    0.20019E+02    0.23790E+07    0.61713E+03
   231    0.55812E+04    0.94894E+00    0.21571E+02    0.23672E+07    0.61520E+03
   232    0.55785E+04    0.97894E+00    0.23130E+02    0.23554E+07    0.61320E+03
   233    0.55751E+04    0.10107E+01    0.24696E+02    0.23437E+07    0.61114E+03
   234    0.55710E+04    0.10440E+01    0.26268E+02    0.23322E+07    0.60901E+03
   235    0.55664E+04    0.10789E+01    0.27845E+02    0.23207E+07    0.60683E+03
   236    0.55612E+04    0.11155E+01    0.29429E+02    0.23093E+07    0.60458E+03
   237    0.55554E+04    0.11538E+01    0.31016E+02    0.22980E+07    0.60228E+03
   238    0.55490E+04    0.11939E+01    0.32608E+02    0.22867E+07    0.59992E+03
   239    0.55421E+04    0.12357E+01    0.34203E+02    0.22756E+07    0.59750E+03
   240    0.55344E+04    0.12791E+01    0.35800E+02    0.22646E+07    0.59504E+03
   241    0.55263E+04    0.13245E+01    0.37399E+02    0.22536E+07    0.59252E+03
   242    0.55177E+04    0.13715E+01    0.39000E+02    0.22427E+07    0.58995E+03
   243    0.55084E+04    0.14204E+01    0.40602E+02    0.22319E+07    0.58734E+03
   244    0.54985E+04    0.14711E+01    0.42205E+02    0.22212E+07    0.58469E+03
   245    0.54881E+04    0.15236E+01    0.43806E+02    0.22106E+07    0.58199E+03
   246    0.54771E+04    0.15781E+01    0.45407E+02    0.22000E+07    0.57925E+03
   247    0.54656E+04    0.16343E+01    0.47006E+02    0.21895E+07    0.57647E+03
   248    0.54535E+04    0.16926E+01    0.48603E+02    0.21791E+07    0.57366E+03
   249    0.54410E+04    0.17526E+01    0.50198E+02    0.21688E+07    0.57081E+03
   250    0.54279E+04    0.18147E+01    0.51788E+02    0.21586E+07    0.56793E+03
   251    0.54143E+04    0.18785E+01    0.53375E+02    0.21484E+07    0.56502E+03
   252    0.54000E+04    0.19444E+01    0.54957E+02    0.21383E+07    0.56208E+03
   253    0.53854E+04    0.20121E+01    0.56534E+02    0.21283E+07    0.55910E+03
   254    0.53702E+04    0.20819E+01    0.58104E+02    0.21183E+07    0.55610E+03
   255    0.53545E+04    0.21535E+01    0.59668E+02    0.21084E+07    0.55307E+03
   256    0.53383E+04    0.22274E+01    0.61226E+02    0.20986E+07    0.55002E+03
   257    0.53216E+04    0.23030E+01    0.62769E+02    0.20889E+07    0.54694E+03
   258    0.53044E+04    0.23808E+01    0.64311E+02    0.20792E+07    0.54383E+03
   259    0.52868E+04    0.24606E+01    0.65836E+02    0.20696E+07    0.54069E+03
   260    0.52687E+04    0.25424E+01    0.67359E+02    0.20600E+07    0.53753E+03
   261    0.52502E+04    0.26262E+01    0.68858E+02    0.20506E+07    0.53435E+03
   262    0.52310E+04    0.27123E+01    0.70356E+02    0.20412E+07    0.53115E+03
   263    0.52117E+04    0.28003E+01    0.71844E+02    0.20318E+07    0.52792E+03
   264    0.51918E+04    0.28904E+01    0.73316E+02    0.20226E+07    0.52467E+03
   265    0.51713E+04    0.29826E+01    0.74763E+02    0.20134E+07    0.52140E+03
   266    0.51505E+04    0.30770E+01    0.76209E+02    0.20043E+07    0.51811E+03
   267    0.51291E+04    0.31733E+01    0.77631E+02    0.19952E+07    0.51480E+03
   268    0.51074E+04    0.32718E+01    0.79044E+02    0.19862E+07    0.51147E+03
   269    0.50851E+04    0.33724E+01    0.80439E+02    0.19772E+07    0.50812E+03
   270    0.50625E+04    0.34751E+01    0.81819E+02    0.19684E+07    0.50475E+03
   271    0.50394E+04    0.35798E+01    0.83181E+02    0.19595E+07    0.50137E+03
   272    0.50161E+04    0.36868E+01    0.84520E+02    0.19508E+07    0.49798E+03
   273    0.49923E+04    0.37955E+01    0.85849E+02    0.19421E+07    0.49456E+03
   274    0.49682E+04    0.39067E+01    0.87147E+02    0.19335E+07    0.49114E+03
   275    0.49436E+04    0.40196E+01    0.88435E+02    0.19249E+07    0.48770E+03
   276    0.49188E+04    0.41347E+01    0.89692E+02    0.19164E+07    0.48424E+03
   277    0.48935E+04    0.42518E+01    0.90939E+02    0.19079E+07    0.48077E+03
   278    0.48679E+04    0.43710E+01    0.92155E+02    0.18995E+07    0.47730E+03
   279    0.48420E+04    0.44921E+01    0.93347E+02    0.18912E+07    0.47381E+03
   280    0.48157E+04    0.46152E+01    0.94530E+02    0.18829E+07    0.47031E+03
   281    0.47892E+04    0.47404E+01    0.95681E+02    0.18747E+07    0.46680E+03
   282    0.47622E+04    0.48673E+01    0.96808E+02    0.18665E+07    0.46328E+03
   283    0.47351E+04    0.49963E+01    0.97910E+02    0.18584E+07    0.45975E+03
   284    0.47076E+04    0.51272E+01    0.98989E+02    0.18504E+07    0.45622E+03
   285    0.46799E+04    0.52601E+01    0.10004E+03    0.18424E+07    0.45268E+03
   286    0.46518E+04    0.53948E+01    0.10107E+03    0.18344E+07    0.44913E+03
   287    0.46234E+04    0.55314E+01    0.10207E+03    0.18265E+07    0.44558E+03
   288    0.45948E+04    0.56698E+01    0.10305E+03    0.18187E+07    0.44203E+03
   289    0.45659E+04    0.58100E+01    0.10400E+03    0.18109E+07    0.43847E+03
   290    0.45369E+04    0.59519E+01    0.10492E+03    0.18031E+07    0.43490E+03
   291    0.45076E+04    0.60961E+01    0.10581E+03    0.17954E+07    0.43134E+03
   292    0.44778E+04    0.62417E+01    0.10668E+03    0.17878E+07    0.42777E+03
   293    0.44480E+04    0.63882E+01    0.10751E+03    0.17802E+07    0.42420E+03
   294    0.44179E+04    0.65372E+01    0.10832E+03    0.17727E+07    0.42063E+03
   295    0.43878E+04    0.66871E+01    0.10910E+03    0.17652E+07    0.41707E+03
   296    0.43574E+04    0.68395E+01    0.10985E+03    0.17577E+07    0.41350E+03
   297    0.43268E+04    0.69922E+01    0.11058E+03    0.17503E+07    0.40993E+03
   298    0.42958E+04    0.71473E+01    0.11126E+03    0.17430E+07    0.40637E+03
   299    0.42649E+04    0.73042E+01    0.11192E+03    0.17357E+07    0.40281E+03
   300    0.42336E+04    0.74614E+01    0.11254E+03    0.17284E+07    0.39926E+03
   301    0.42023E+04    0.76204E+01    0.11314E+03    0.17212E+07    0.39571E+03
   302    0.41708E+04    0.77804E+01    0.11372E+03    0.17140E+07    0.39216E+03
   303    0.41392E+04    0.79422E+01    0.11425E+03    0.17069E+07    0.38862E+03
   304    0.41075E+04    0.81059E+01    0.11475E+03    0.16998E+07    0.38509E+03
