#    L    TT             EE             BB             TE             PP             TP             EP          
   135    0.36652E+04    0.10359E+01    0.00000E+00   -0.40080E+02    0.89665E-07    0.34733E-05   -0.96907E-06
   136    0.36980E+04    0.10394E+01    0.00000E+00   -0.40458E+02    0.89066E-07    0.48318E-05   -0.95957E-06
   137    0.37308E+04    0.10424E+01    0.00000E+00   -0.40822E+02    0.88474E-07    0.61612E-05   -0.94719E-06
   138    0.37635E+04    0.10449E+01    0.00000E+00   -0.41170E+02    0.87886E-07    0.74607E-05   -0.93229E-06
   139    0.37961E+04    0.10472E+01    0.00000E+00   -0.41501E+02    0.87305E-07    0.87297E-05   -0.91523E-06
   140    0.38287E+04    0.10488E+01    0.00000E+00   -0.41816E+02    0.86728E-07    0.99676E-05   -0.89638E-06
   141    0.38612E+04    0.10500E+01    0.00000E+00   -0.42113E+02    0.86157E-07    0.11174E-04   -0.87607E-06
   142    0.38936E+04    0.10508E+01    0.00000E+00   -0.42393E+02    0.85591E-07    0.12347E-04   -0.85469E-06
   143    0.39261E+04    0.10512E+01    0.00000E+00   -0.42655E+02    0.85031E-07    0.13488E-04   -0.83258E-06
   144    0.39583E+04    0.10511E+01    0.00000E+00   -0.42900E+02    0.84475E-07    0.14594E-04   -0.81010E-06
   145    0.39904E+04    0.10507E+01    0.00000E+00   -0.43125E+02    0.83925E-07    0.15666E-04   -0.78762E-06
   146    0.40227E+04    0.10497E+01    0.00000E+00   -0.43332E+02    0.83380E-07    0.16704E-04   -0.76548E-06
   147    0.40546E+04    0.10483E+01    0.00000E+00   -0.43519E+02    0.82839E-07    0.17705E-04   -0.74405E-06
   148    0.40864E+04    0.10465E+01    0.00000E+00   -0.43687E+02    0.82304E-07    0.18670E-04   -0.72369E-06
   149    0.41181E+04    0.10442E+01    0.00000E+00   -0.43836E+02    0.81774E-07    0.19597E-04   -0.70475E-06
   150    0.41496E+04    0.10416E+01    0.00000E+00   -0.43962E+02    0.81248E-07    0.20487E-04   -0.68760E-06
   151    0.41810E+04    0.10385E+01    0.00000E+00   -0.44068E+02    0.80727E-07    0.21339E-04   -0.67250E-06
   152    0.42122E+04    0.10350E+01    0.00000E+00   -0.44154E+02    0.80211E-07    0.22153E-04   -0.65942E-06
   153    0.42432E+04    0.10311E+01    0.00000E+00   -0.44217E+02    0.79700E-07    0.22932E-04   -0.64824E-06
   154    0.42741E+04    0.10268E+01    0.00000E+00   -0.44260E+02    0.79193E-07    0.23675E-04   -0.63884E-06
   155    0.43048E+04    0.10222E+01    0.00000E+00   -0.44280E+02    0.78691E-07    0.24385E-04   -0.63109E-06
   156    0.43352E+04    0.10172E+01    0.00000E+00   -0.44279E+02    0.78194E-07    0.25061E-04   -0.62487E-06
   157    0.43656E+04    0.10118E+01    0.00000E+00   -0.44255E+02    0.77701E-07    0.25707E-04   -0.62007E-06
   158    0.43957E+04    0.10060E+01    0.00000E+00   -0.44208E+02    0.77212E-07    0.26322E-04   -0.61656E-06
   159    0.44255E+04    0.99988E+00    0.00000E+00   -0.44139E+02    0.76728E-07    0.26908E-04   -0.61423E-06
   160    0.44552E+04    0.99339E+00    0.00000E+00   -0.44045E+02    0.76249E-07    0.27466E-04   -0.61294E-06
   161    0.44847E+04    0.98665E+00    0.00000E+00   -0.43929E+02    0.75773E-07    0.27997E-04   -0.61259E-06
   162    0.45140E+04    0.97951E+00    0.00000E+00   -0.43790E+02    0.75303E-07    0.28503E-04   -0.61305E-06
   163    0.45432E+04    0.97204E+00    0.00000E+00   -0.43628E+02    0.74836E-07    0.28984E-04   -0.61420E-06
   164    0.45720E+04    0.96431E+00    0.00000E+00   -0.43442E+02    0.74374E-07    0.29441E-04   -0.61591E-06
   165    0.46007E+04    0.95624E+00    0.00000E+00   -0.43231E+02    0.73916E-07    0.29876E-04   -0.61807E-06
   166    0.46291E+04    0.94797E+00    0.00000E+00   -0.42997E+02    0.73462E-07    0.30291E-04   -0.62057E-06
   167    0.46574E+04    0.93928E+00    0.00000E+00   -0.42740E+02    0.73012E-07    0.30685E-04   -0.62326E-06
   168    0.46852E+04    0.93053E+00    0.00000E+00   -0.42458E+02    0.72567E-07    0.31061E-04   -0.62605E-06
   169    0.47129E+04    0.92142E+00    0.00000E+00   -0.42150E+02    0.72125E-07    0.31419E-04   -0.62880E-06
   170    0.47402E+04    0.91217E+00    0.00000E+00   -0.41819E+02    0.71688E-07    0.31761E-04   -0.63140E-06
   171    0.47672E+04    0.90278E+00    0.00000E+00   -0.41462E+02    0.71254E-07    0.32087E-04   -0.63372E-06
   172    0.47939E+04    0.89316E+00    0.00000E+00   -0.41080E+02    0.70825E-07    0.32399E-04   -0.63565E-06
   173    0.48202E+04    0.88332E+00    0.00000E+00   -0.40674E+02    0.70399E-07    0.32699E-04   -0.63706E-06
   174    0.48462E+04    0.87354E+00    0.00000E+00   -0.40243E+02    0.69978E-07    0.32986E-04   -0.63784E-06
   175    0.48719E+04    0.86352E+00    0.00000E+00   -0.39786E+02    0.69560E-07    0.33263E-04   -0.63786E-06
   176    0.48972E+04    0.85348E+00    0.00000E+00   -0.39304E+02    0.69146E-07    0.33531E-04   -0.63703E-06
   177    0.49221E+04    0.84335E+00    0.00000E+00   -0.38798E+02    0.68735E-07    0.33788E-04   -0.63536E-06
   178    0.49467E+04    0.83333E+00    0.00000E+00   -0.38266E+02    0.68329E-07    0.34037E-04   -0.63286E-06
   179    0.49709E+04    0.82312E+00    0.00000E+00   -0.37709E+02    0.67926E-07    0.34276E-04   -0.62958E-06
   180    0.49948E+04    0.81294E+00    0.00000E+00   -0.37127E+02    0.67527E-07    0.34506E-04   -0.62554E-06
   181    0.50182E+04    0.80279E+00    0.00000E+00   -0.36520E+02    0.67131E-07    0.34727E-04   -0.62078E-06
   182    0.50413E+04    0.79273E+00    0.00000E+00   -0.35888E+02    0.66739E-07    0.34939E-04   -0.61531E-06
   183    0.50639E+04    0.78267E+00    0.00000E+00   -0.35231E+02    0.66351E-07    0.35142E-04   -0.60918E-06
   184    0.50862E+04    0.77269E+00    0.00000E+00   -0.34548E+02    0.65966E-07    0.35337E-04   -0.60241E-06
   185    0.51081E+04    0.76294E+00    0.00000E+00   -0.33843E+02    0.65584E-07    0.35522E-04   -0.59503E-06
   186    0.51293E+04    0.75325E+00    0.00000E+00   -0.33110E+02    0.65206E-07    0.35699E-04   -0.58707E-06
   187    0.51504E+04    0.74377E+00    0.00000E+00   -0.32353E+02    0.64831E-07    0.35867E-04   -0.57856E-06
   188    0.51710E+04    0.73447E+00    0.00000E+00   -0.31572E+02    0.64460E-07    0.36027E-04   -0.56953E-06
   189    0.51911E+04    0.72539E+00    0.00000E+00   -0.30766E+02    0.64091E-07    0.36178E-04   -0.56001E-06
   190    0.52110E+04    0.71657E+00    0.00000E+00   -0.29937E+02    0.63727E-07    0.36321E-04   -0.55003E-06
   191    0.52302E+04    0.70802E+00    0.00000E+00   -0.29082E+02    0.63365E-07    0.36456E-04   -0.53962E-06
   192    0.52491E+04    0.69977E+00    0.00000E+00   -0.28203E+02    0.63006E-07    0.36582E-04   -0.52881E-06
   193    0.52674E+04    0.69185E+00    0.00000E+00   -0.27301E+02    0.62651E-07    0.36701E-04   -0.51763E-06
   194    0.52854E+04    0.68428E+00    0.00000E+00   -0.26374E+02    0.62299E-07    0.36811E-04   -0.50610E-06
   195    0.53029E+04    0.67709E+00    0.00000E+00   -0.25425E+02    0.61949E-07    0.36914E-04   -0.49426E-06
   196    0.53199E+04    0.67032E+00    0.00000E+00   -0.24452E+02    0.61603E-07    0.37008E-04   -0.48214E-06
   197    0.53365E+04    0.66400E+00    0.00000E+00   -0.23456E+02    0.61260E-07    0.37095E-04   -0.46977E-06
   198    0.53526E+04    0.65814E+00    0.00000E+00   -0.22438E+02    0.60920E-07    0.37174E-04   -0.45717E-06
   199    0.53683E+04    0.65279E+00    0.00000E+00   -0.21398E+02    0.60582E-07    0.37246E-04   -0.44437E-06
   200    0.53835E+04    0.64796E+00    0.00000E+00   -0.20335E+02    0.60248E-07    0.37310E-04   -0.43142E-06
   201    0.53983E+04    0.64370E+00    0.00000E+00   -0.19250E+02    0.59916E-07    0.37366E-04   -0.41832E-06
   202    0.54125E+04    0.64002E+00    0.00000E+00   -0.18144E+02    0.59587E-07    0.37415E-04   -0.40509E-06
   203    0.54262E+04    0.63698E+00    0.00000E+00   -0.17016E+02    0.59261E-07    0.37457E-04   -0.39174E-06
   204    0.54394E+04    0.63461E+00    0.00000E+00   -0.15869E+02    0.58938E-07    0.37492E-04   -0.37828E-06
   205    0.54520E+04    0.63294E+00    0.00000E+00   -0.14700E+02    0.58617E-07    0.37520E-04   -0.36469E-06
   206    0.54641E+04    0.63201E+00    0.00000E+00   -0.13510E+02    0.58299E-07    0.37541E-04   -0.35101E-06
   207    0.54757E+04    0.63184E+00    0.00000E+00   -0.12301E+02    0.57984E-07    0.37555E-04   -0.33721E-06
   208    0.54866E+04    0.63248E+00    0.00000E+00   -0.11072E+02    0.57671E-07    0.37562E-04   -0.32333E-06
   209    0.54970E+04    0.63397E+00    0.00000E+00   -0.98240E+01    0.57361E-07    0.37563E-04   -0.30935E-06
   210    0.55068E+04    0.63633E+00    0.00000E+00   -0.85572E+01    0.57054E-07    0.37558E-04   -0.29528E-06
   211    0.55161E+04    0.63962E+00    0.00000E+00   -0.72718E+01    0.56749E-07    0.37546E-04   -0.28114E-06
   212    0.55247E+04    0.64384E+00    0.00000E+00   -0.59686E+01    0.56447E-07    0.37528E-04   -0.26692E-06
   213    0.55329E+04    0.64906E+00    0.00000E+00   -0.46474E+01    0.56147E-07    0.37504E-04   -0.25263E-06
   214    0.55404E+04    0.65526E+00    0.00000E+00   -0.33094E+01    0.55850E-07    0.37474E-04   -0.23828E-06
   215    0.55474E+04    0.66262E+00    0.00000E+00   -0.19552E+01    0.55555E-07    0.37438E-04   -0.22387E-06
   216    0.55537E+04    0.67098E+00    0.00000E+00   -0.58412E+00    0.55263E-07    0.37396E-04   -0.20941E-06
   217    0.55596E+04    0.68047E+00    0.00000E+00    0.80192E+00    0.54973E-07    0.37349E-04   -0.19490E-06
   218    0.55648E+04    0.69111E+00    0.00000E+00    0.22032E+01    0.54686E-07    0.37296E-04   -0.18034E-06
   219    0.55695E+04    0.70288E+00    0.00000E+00    0.36209E+01    0.54401E-07    0.37238E-04   -0.16576E-06
   220    0.55737E+04    0.71594E+00    0.00000E+00    0.50506E+01    0.54118E-07    0.37174E-04   -0.15114E-06
   221    0.55773E+04    0.73021E+00    0.00000E+00    0.64946E+01    0.53838E-07    0.37106E-04   -0.13649E-06
   222    0.55803E+04    0.74585E+00    0.00000E+00    0.79516E+01    0.53560E-07    0.37032E-04   -0.12183E-06
   223    0.55826E+04    0.76276E+00    0.00000E+00    0.94224E+01    0.53284E-07    0.36953E-04   -0.10715E-06
   224    0.55845E+04    0.78096E+00    0.00000E+00    0.10903E+02    0.53010E-07    0.36870E-04   -0.92461E-07
