#    L    TT             EE             BB             TE          
   258    0.51615E+04    0.30180E+01    0.19457E-01    0.74350E+02
   259    0.51401E+04    0.31150E+01    0.19599E-01    0.75811E+02
   260    0.51183E+04    0.32142E+01    0.19742E-01    0.77265E+02
   261    0.50961E+04    0.33154E+01    0.19883E-01    0.78689E+02
   262    0.50733E+04    0.34190E+01    0.20025E-01    0.80107E+02
   263    0.50503E+04    0.35246E+01    0.20166E-01    0.81510E+02
   264    0.50268E+04    0.36324E+01    0.20307E-01    0.82892E+02
   265    0.50028E+04    0.37423E+01    0.20447E-01    0.84244E+02
   266    0.49785E+04    0.38545E+01    0.20588E-01    0.85589E+02
   267    0.49536E+04    0.39686E+01    0.20727E-01    0.86905E+02
   268    0.49284E+04    0.40851E+01    0.20867E-01    0.88207E+02
   269    0.49026E+04    0.42036E+01    0.21006E-01    0.89487E+02
   270    0.48767E+04    0.43241E+01    0.21144E-01    0.90745E+02
   271    0.48503E+04    0.44467E+01    0.21282E-01    0.91981E+02
   272    0.48237E+04    0.45716E+01    0.21420E-01    0.93188E+02
   273    0.47966E+04    0.46982E+01    0.21557E-01    0.94381E+02
   274    0.47692E+04    0.48271E+01    0.21694E-01    0.95538E+02
   275    0.47415E+04    0.49579E+01    0.21830E-01    0.96680E+02
   276    0.47136E+04    0.50906E+01    0.21966E-01    0.97786E+02
   277    0.46852E+04    0.52254E+01    0.22101E-01    0.98878E+02
   278    0.46565E+04    0.53621E+01    0.22236E-01    0.99933E+02
   279    0.46276E+04    0.55007E+01    0.22370E-01    0.10096E+03
   280    0.45984E+04    0.56412E+01    0.22504E-01    0.10197E+03
   281    0.45691E+04    0.57837E+01    0.22637E-01    0.10295E+03
   282    0.45393E+04    0.59277E+01    0.22769E-01    0.10389E+03
   283    0.45094E+04    0.60737E+01    0.22902E-01    0.10481E+03
   284    0.44792E+04    0.62215E+01    0.23033E-01    0.10570E+03
   285    0.44488E+04    0.63711E+01    0.23164E-01    0.10656E+03
   286    0.44181E+04    0.65223E+01    0.23294E-01    0.10738E+03
   287    0.43872E+04    0.66752E+01    0.23424E-01    0.10819E+03
   288    0.43562E+04    0.68298E+01    0.23553E-01    0.10895E+03
   289    0.43249E+04    0.69860E+01    0.23682E-01    0.10969E+03
   290    0.42935E+04    0.71436E+01    0.23810E-01    0.11040E+03
   291    0.42620E+04    0.73034E+01    0.23937E-01    0.11106E+03
   292    0.42300E+04    0.74642E+01    0.24064E-01    0.11171E+03
   293    0.41981E+04    0.76258E+01    0.24190E-01    0.11231E+03
   294    0.41660E+04    0.77896E+01    0.24316E-01    0.11288E+03
   295    0.41339E+04    0.79540E+01    0.24441E-01    0.11342E+03
   296    0.41015E+04    0.81207E+01    0.24565E-01    0.11393E+03
   297    0.40691E+04    0.82873E+01    0.24689E-01    0.11440E+03
   298    0.40364E+04    0.84561E+01    0.24812E-01    0.11484E+03
   299    0.40038E+04    0.86264E+01    0.24934E-01    0.11524E+03
   300    0.39710E+04    0.87966E+01    0.25056E-01    0.11560E+03
   301    0.39381E+04    0.89683E+01    0.25177E-01    0.11593E+03
   302    0.39052E+04    0.91407E+01    0.25297E-01    0.11624E+03
   303    0.38722E+04    0.93145E+01    0.25417E-01    0.11650E+03
   304    0.38392E+04    0.94899E+01    0.25536E-01    0.11672E+03
   305    0.38062E+04    0.96652E+01    0.25655E-01    0.11691E+03
   306    0.37731E+04    0.98412E+01    0.25773E-01    0.11706E+03
   307    0.37400E+04    0.10018E+02    0.25890E-01    0.11717E+03
   308    0.37069E+04    0.10197E+02    0.26006E-01    0.11726E+03
   309    0.36739E+04    0.10375E+02    0.26122E-01    0.11729E+03
   310    0.36408E+04    0.10553E+02    0.26237E-01    0.11730E+03
