#    L    TT             EE             BB             TE          
   349    0.26908E+04    0.15846E+02    0.34976E-01    0.99904E+02
   350    0.26637E+04    0.16005E+02    0.35089E-01    0.98840E+02
   351    0.26370E+04    0.16162E+02    0.35200E-01    0.97744E+02
   352    0.26103E+04    0.16318E+02    0.35312E-01    0.96617E+02
   353    0.25840E+04    0.16472E+02    0.35423E-01    0.95471E+02
   354    0.25580E+04    0.16625E+02    0.35533E-01    0.94286E+02
   355    0.25323E+04    0.16776E+02    0.35643E-01    0.93076E+02
   356    0.25068E+04    0.16926E+02    0.35753E-01    0.91848E+02
   357    0.24817E+04    0.17073E+02    0.35862E-01    0.90588E+02
   358    0.24570E+04    0.17218E+02    0.35971E-01    0.89309E+02
   359    0.24324E+04    0.17361E+02    0.36080E-01    0.87997E+02
   360    0.24083E+04    0.17502E+02    0.36188E-01    0.86663E+02
   361    0.23844E+04    0.17642E+02    0.36296E-01    0.85303E+02
   362    0.23609E+04    0.17779E+02    0.36404E-01    0.83919E+02
   363    0.23377E+04    0.17915E+02    0.36511E-01    0.82513E+02
   364    0.23149E+04    0.18047E+02    0.36618E-01    0.81081E+02
   365    0.22924E+04    0.18177E+02    0.36725E-01    0.79630E+02
   366    0.22703E+04    0.18305E+02    0.36832E-01    0.78156E+02
   367    0.22486E+04    0.18430E+02    0.36938E-01    0.76661E+02
   368    0.22271E+04    0.18553E+02    0.37045E-01    0.75147E+02
   369    0.22061E+04    0.18673E+02    0.37151E-01    0.73611E+02
   370    0.21855E+04    0.18791E+02    0.37257E-01    0.72059E+02
   371    0.21651E+04    0.18906E+02    0.37362E-01    0.70485E+02
   372    0.21452E+04    0.19018E+02    0.37468E-01    0.68896E+02
   373    0.21256E+04    0.19127E+02    0.37574E-01    0.67287E+02
   374    0.21065E+04    0.19234E+02    0.37679E-01    0.65663E+02
   375    0.20877E+04    0.19338E+02    0.37785E-01    0.64023E+02
   376    0.20693E+04    0.19439E+02    0.37890E-01    0.62366E+02
   377    0.20514E+04    0.19537E+02    0.37995E-01    0.60697E+02
   378    0.20337E+04    0.19632E+02    0.38101E-01    0.59011E+02
   379    0.20165E+04    0.19724E+02    0.38206E-01    0.57313E+02
   380    0.19997E+04    0.19814E+02    0.38311E-01    0.55601E+02
   381    0.19833E+04    0.19898E+02    0.38417E-01    0.53877E+02
   382    0.19672E+04    0.19980E+02    0.38522E-01    0.52143E+02
   383    0.19516E+04    0.20059E+02    0.38628E-01    0.50395E+02
   384    0.19365E+04    0.20135E+02    0.38733E-01    0.48639E+02
   385    0.19217E+04    0.20208E+02    0.38839E-01    0.46873E+02
   386    0.19073E+04    0.20278E+02    0.38945E-01    0.45098E+02
   387    0.18933E+04    0.20343E+02    0.39051E-01    0.43314E+02
