#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.141772E+00   0.171548E+07   0.170760E+07   0.148150E+02   0.892115E+01   0.000000E+00   0.171416E+07   0.171416E+07   0.171416E+07  -0.755967E-01   0.983533E+06   0.983432E+06   0.237745E+00
   0.146843E+00   0.161643E+07   0.160806E+07   0.130115E+02   0.783541E+01   0.000000E+00   0.161502E+07   0.161502E+07   0.161502E+07  -0.712262E-01   0.926656E+06   0.926553E+06   0.234326E+00
   0.151913E+00   0.152806E+07   0.151947E+07   0.114924E+02   0.692084E+01   0.000000E+00   0.152661E+07   0.152661E+07   0.152661E+07  -0.673285E-01   0.875933E+06   0.875830E+06   0.225775E+00
   0.156984E+00   0.145390E+07   0.144546E+07   0.102399E+02   0.616669E+01   0.000000E+00   0.145248E+07   0.145248E+07   0.145248E+07  -0.640602E-01   0.833400E+06   0.833301E+06   0.211365E+00
   0.162054E+00   0.139406E+07   0.138612E+07   0.921418E+01   0.554913E+01   0.000000E+00   0.139273E+07   0.139273E+07   0.139273E+07  -0.614259E-01   0.799118E+06   0.799024E+06   0.192345E+00
   0.167125E+00   0.134566E+07   0.133845E+07   0.836353E+01   0.503694E+01   0.000000E+00   0.134445E+07   0.134445E+07   0.134445E+07  -0.592972E-01   0.771415E+06   0.771329E+06   0.171155E+00
   0.172196E+00   0.130466E+07   0.129828E+07   0.763912E+01   0.460074E+01   0.000000E+00   0.130359E+07   0.130359E+07   0.130359E+07  -0.574961E-01   0.747974E+06   0.747896E+06   0.150574E+00
   0.177266E+00   0.126715E+07   0.126154E+07   0.700188E+01   0.421703E+01   0.000000E+00   0.126621E+07   0.126621E+07   0.126621E+07  -0.558480E-01   0.726525E+06   0.726454E+06   0.132939E+00
   0.182337E+00   0.122957E+07   0.122452E+07   0.642213E+01   0.386793E+01   0.000000E+00   0.122872E+07   0.122872E+07   0.122872E+07  -0.541951E-01   0.705016E+06   0.704950E+06   0.119611E+00
   0.187407E+00   0.118934E+07   0.118462E+07   0.588070E+01   0.354189E+01   0.000000E+00   0.118855E+07   0.118855E+07   0.118855E+07  -0.524237E-01   0.681965E+06   0.681903E+06   0.110810E+00
   0.192478E+00   0.114578E+07   0.114115E+07   0.537081E+01   0.323483E+01   0.000000E+00   0.114500E+07   0.114500E+07   0.114500E+07  -0.505034E-01   0.656980E+06   0.656919E+06   0.105802E+00
   0.197549E+00   0.110008E+07   0.109537E+07   0.489518E+01   0.294840E+01   0.000000E+00   0.109929E+07   0.109929E+07   0.109929E+07  -0.484877E-01   0.630753E+06   0.630692E+06   0.103260E+00
   0.202619E+00   0.105431E+07   0.104945E+07   0.445948E+01   0.268601E+01   0.000000E+00   0.105350E+07   0.105350E+07   0.105350E+07  -0.464682E-01   0.604479E+06   0.604417E+06   0.101675E+00
   0.207690E+00   0.101055E+07   0.100553E+07   0.406802E+01   0.245026E+01   0.000000E+00   0.100970E+07   0.100970E+07   0.100970E+07  -0.445369E-01   0.579353E+06   0.579291E+06   0.997333E-01
