#    L    TT             EE             BB             TE             PP             TP             EP          
   203    0.54172E+04    0.63610E+00    0.00000E+00   -0.16813E+02    0.59600E-07    0.37012E-04   -0.38847E-06
   204    0.54302E+04    0.63382E+00    0.00000E+00   -0.15662E+02    0.59276E-07    0.37052E-04   -0.37497E-06
   205    0.54428E+04    0.63226E+00    0.00000E+00   -0.14490E+02    0.58954E-07    0.37085E-04   -0.36137E-06
   206    0.54547E+04    0.63145E+00    0.00000E+00   -0.13297E+02    0.58634E-07    0.37111E-04   -0.34766E-06
   207    0.54662E+04    0.63140E+00    0.00000E+00   -0.12085E+02    0.58318E-07    0.37130E-04   -0.33385E-06
   208    0.54770E+04    0.63218E+00    0.00000E+00   -0.10852E+02    0.58004E-07    0.37142E-04   -0.31995E-06
   209    0.54872E+04    0.63380E+00    0.00000E+00   -0.96010E+01    0.57693E-07    0.37147E-04   -0.30595E-06
   210    0.54970E+04    0.63631E+00    0.00000E+00   -0.83310E+01    0.57384E-07    0.37146E-04   -0.29188E-06
   211    0.55061E+04    0.63974E+00    0.00000E+00   -0.70426E+01    0.57078E-07    0.37139E-04   -0.27772E-06
   212    0.55146E+04    0.64413E+00    0.00000E+00   -0.57364E+01    0.56774E-07    0.37125E-04   -0.26349E-06
   213    0.55226E+04    0.64951E+00    0.00000E+00   -0.44123E+01    0.56474E-07    0.37104E-04   -0.24920E-06
   214    0.55300E+04    0.65587E+00    0.00000E+00   -0.30715E+01    0.56175E-07    0.37078E-04   -0.23484E-06
   215    0.55369E+04    0.66342E+00    0.00000E+00   -0.17146E+01    0.55879E-07    0.37046E-04   -0.22043E-06
   216    0.55431E+04    0.67196E+00    0.00000E+00   -0.34084E+00    0.55586E-07    0.37008E-04   -0.20597E-06
   217    0.55489E+04    0.68165E+00    0.00000E+00    0.10477E+01    0.55295E-07    0.36964E-04   -0.19146E-06
   218    0.55540E+04    0.69248E+00    0.00000E+00    0.24515E+01    0.55006E-07    0.36914E-04   -0.17691E-06
   219    0.55586E+04    0.70446E+00    0.00000E+00    0.38715E+01    0.54720E-07    0.36859E-04   -0.16232E-06
   220    0.55626E+04    0.71773E+00    0.00000E+00    0.53035E+01    0.54436E-07    0.36799E-04   -0.14771E-06
   221    0.55660E+04    0.73222E+00    0.00000E+00    0.67497E+01    0.54154E-07    0.36733E-04   -0.13307E-06
   222    0.55689E+04    0.74808E+00    0.00000E+00    0.82087E+01    0.53875E-07    0.36662E-04   -0.11841E-06
   223    0.55711E+04    0.76523E+00    0.00000E+00    0.96815E+01    0.53598E-07    0.36586E-04   -0.10374E-06
   224    0.55729E+04    0.78367E+00    0.00000E+00    0.11164E+02    0.53323E-07    0.36505E-04   -0.89065E-07
   225    0.55740E+04    0.80354E+00    0.00000E+00    0.12660E+02    0.53051E-07    0.36419E-04   -0.74385E-07
   226    0.55746E+04    0.82486E+00    0.00000E+00    0.14166E+02    0.52781E-07    0.36329E-04   -0.59708E-07
