#    L    TT             EE             BB             TE             PP             TP             EP          
   141    0.38733E+04    0.11266E+01    0.37469E-01   -0.42913E+02    0.87239E-07    0.72303E-05   -0.88470E-06
   142    0.39048E+04    0.11264E+01    0.36786E-01   -0.43155E+02    0.86676E-07    0.81182E-05   -0.86357E-06
   143    0.39363E+04    0.11258E+01    0.36106E-01   -0.43380E+02    0.86118E-07    0.89818E-05   -0.84168E-06
   144    0.39677E+04    0.11247E+01    0.35430E-01   -0.43587E+02    0.85564E-07    0.98203E-05   -0.81940E-06
   145    0.39990E+04    0.11232E+01    0.34757E-01   -0.43776E+02    0.85016E-07    0.10633E-04   -0.79708E-06
   146    0.40304E+04    0.11212E+01    0.34088E-01   -0.43947E+02    0.84472E-07    0.11419E-04   -0.77507E-06
   147    0.40616E+04    0.11188E+01    0.33425E-01   -0.44098E+02    0.83934E-07    0.12177E-04   -0.75373E-06
   148    0.40926E+04    0.11160E+01    0.32767E-01   -0.44232E+02    0.83400E-07    0.12906E-04   -0.73342E-06
   149    0.41237E+04    0.11126E+01    0.32115E-01   -0.44346E+02    0.82870E-07    0.13607E-04   -0.71449E-06
   150    0.41546E+04    0.11090E+01    0.31469E-01   -0.44438E+02    0.82346E-07    0.14278E-04   -0.69731E-06
   151    0.41854E+04    0.11048E+01    0.30831E-01   -0.44512E+02    0.81826E-07    0.14918E-04   -0.68213E-06
   152    0.42160E+04    0.11002E+01    0.30200E-01   -0.44566E+02    0.81311E-07    0.15528E-04   -0.66894E-06
   153    0.42465E+04    0.10952E+01    0.29577E-01   -0.44597E+02    0.80800E-07    0.16109E-04   -0.65760E-06
   154    0.42769E+04    0.10899E+01    0.28962E-01   -0.44608E+02    0.80294E-07    0.16663E-04   -0.64801E-06
   155    0.43071E+04    0.10841E+01    0.28355E-01   -0.44599E+02    0.79792E-07    0.17190E-04   -0.64003E-06
   156    0.43370E+04    0.10780E+01    0.27756E-01   -0.44568E+02    0.79295E-07    0.17691E-04   -0.63356E-06
   157    0.43670E+04    0.10715E+01    0.27166E-01   -0.44515E+02    0.78802E-07    0.18167E-04   -0.62848E-06
   158    0.43967E+04    0.10647E+01    0.26585E-01   -0.44440E+02    0.78313E-07    0.18620E-04   -0.62466E-06
   159    0.44262E+04    0.10574E+01    0.26013E-01   -0.44343E+02    0.77829E-07    0.19050E-04   -0.62199E-06
   160    0.44555E+04    0.10499E+01    0.25450E-01   -0.44223E+02    0.77349E-07    0.19458E-04   -0.62035E-06
   161    0.44847E+04    0.10420E+01    0.24896E-01   -0.44081E+02    0.76874E-07    0.19845E-04   -0.61962E-06
   162    0.45137E+04    0.10338E+01    0.24353E-01   -0.43917E+02    0.76402E-07    0.20213E-04   -0.61969E-06
   163    0.45426E+04    0.10252E+01    0.23819E-01   -0.43729E+02    0.75935E-07    0.20562E-04   -0.62043E-06
   164    0.45712E+04    0.10164E+01    0.23296E-01   -0.43520E+02    0.75472E-07    0.20893E-04   -0.62173E-06
   165    0.45996E+04    0.10072E+01    0.22783E-01   -0.43286E+02    0.75013E-07    0.21208E-04   -0.62348E-06
   166    0.46278E+04    0.99788E+00    0.22280E-01   -0.43029E+02    0.74558E-07    0.21507E-04   -0.62554E-06
   167    0.46559E+04    0.98811E+00    0.21789E-01   -0.42751E+02    0.74107E-07    0.21792E-04   -0.62781E-06
   168    0.46836E+04    0.97829E+00    0.21309E-01   -0.42447E+02    0.73661E-07    0.22062E-04   -0.63017E-06
   169    0.47111E+04    0.96811E+00    0.20840E-01   -0.42119E+02    0.73218E-07    0.22320E-04   -0.63249E-06
   170    0.47383E+04    0.95781E+00    0.20383E-01   -0.41769E+02    0.72779E-07    0.22567E-04   -0.63467E-06
   171    0.47652E+04    0.94737E+00    0.19938E-01   -0.41393E+02    0.72344E-07    0.22803E-04   -0.63657E-06
   172    0.47918E+04    0.93671E+00    0.19504E-01   -0.40993E+02    0.71913E-07    0.23029E-04   -0.63810E-06
   173    0.48180E+04    0.92584E+00    0.19084E-01   -0.40569E+02    0.71486E-07    0.23246E-04   -0.63912E-06
   174    0.48439E+04    0.91504E+00    0.18675E-01   -0.40121E+02    0.71063E-07    0.23456E-04   -0.63952E-06
   175    0.48696E+04    0.90402E+00    0.18280E-01   -0.39649E+02    0.70643E-07    0.23660E-04   -0.63918E-06
   176    0.48948E+04    0.89299E+00    0.17897E-01   -0.39151E+02    0.70227E-07    0.23857E-04   -0.63801E-06
   177    0.49196E+04    0.88188E+00    0.17527E-01   -0.38631E+02    0.69815E-07    0.24049E-04   -0.63601E-06
   178    0.49441E+04    0.87089E+00    0.17170E-01   -0.38085E+02    0.69407E-07    0.24236E-04   -0.63322E-06
   179    0.49683E+04    0.85974E+00    0.16826E-01   -0.37514E+02    0.69002E-07    0.24417E-04   -0.62965E-06
   180    0.49922E+04    0.84863E+00    0.16493E-01   -0.36920E+02    0.68600E-07    0.24592E-04   -0.62535E-06
   181    0.50156E+04    0.83756E+00    0.16173E-01   -0.36302E+02    0.68203E-07    0.24761E-04   -0.62034E-06
   182    0.50386E+04    0.82659E+00    0.15866E-01   -0.35658E+02    0.67808E-07    0.24925E-04   -0.61464E-06
   183    0.50612E+04    0.81565E+00    0.15570E-01   -0.34991E+02    0.67418E-07    0.25083E-04   -0.60829E-06
   184    0.50835E+04    0.80481E+00    0.15285E-01   -0.34298E+02    0.67030E-07    0.25236E-04   -0.60132E-06
   185    0.51054E+04    0.79421E+00    0.15013E-01   -0.33583E+02    0.66646E-07    0.25383E-04   -0.59375E-06
   186    0.51266E+04    0.78370E+00    0.14752E-01   -0.32842E+02    0.66266E-07    0.25524E-04   -0.58562E-06
   187    0.51477E+04    0.77341E+00    0.14502E-01   -0.32077E+02    0.65889E-07    0.25660E-04   -0.57695E-06
   188    0.51683E+04    0.76333E+00    0.14263E-01   -0.31288E+02    0.65515E-07    0.25790E-04   -0.56777E-06
   189    0.51884E+04    0.75349E+00    0.14035E-01   -0.30475E+02    0.65144E-07    0.25914E-04   -0.55812E-06
   190    0.52084E+04    0.74393E+00    0.13818E-01   -0.29640E+02    0.64777E-07    0.26032E-04   -0.54801E-06
   191    0.52275E+04    0.73467E+00    0.13612E-01   -0.28778E+02    0.64412E-07    0.26145E-04   -0.53749E-06
   192    0.52464E+04    0.72572E+00    0.13416E-01   -0.27894E+02    0.64051E-07    0.26252E-04   -0.52657E-06
   193    0.52647E+04    0.71713E+00    0.13231E-01   -0.26987E+02    0.63693E-07    0.26353E-04   -0.51528E-06
   194    0.52828E+04    0.70891E+00    0.13055E-01   -0.26055E+02    0.63338E-07    0.26449E-04   -0.50367E-06
   195    0.53003E+04    0.70111E+00    0.12890E-01   -0.25102E+02    0.62986E-07    0.26539E-04   -0.49175E-06
   196    0.53172E+04    0.69375E+00    0.12735E-01   -0.24125E+02    0.62637E-07    0.26623E-04   -0.47955E-06
   197    0.53338E+04    0.68686E+00    0.12589E-01   -0.23126E+02    0.62291E-07    0.26701E-04   -0.46710E-06
   198    0.53499E+04    0.68047E+00    0.12453E-01   -0.22105E+02    0.61948E-07    0.26773E-04   -0.45444E-06
   199    0.53656E+04    0.67461E+00    0.12326E-01   -0.21062E+02    0.61608E-07    0.26840E-04   -0.44159E-06
   200    0.53808E+04    0.66930E+00    0.12209E-01   -0.19998E+02    0.61271E-07    0.26901E-04   -0.42858E-06
   201    0.53955E+04    0.66459E+00    0.12100E-01   -0.18911E+02    0.60936E-07    0.26956E-04   -0.41543E-06
   202    0.54098E+04    0.66050E+00    0.12001E-01   -0.17803E+02    0.60604E-07    0.27006E-04   -0.40215E-06
   203    0.54234E+04    0.65707E+00    0.11910E-01   -0.16674E+02    0.60275E-07    0.27049E-04   -0.38875E-06
   204    0.54365E+04    0.65433E+00    0.11827E-01   -0.15526E+02    0.59949E-07    0.27088E-04   -0.37524E-06
   205    0.54492E+04    0.65233E+00    0.11752E-01   -0.14356E+02    0.59626E-07    0.27121E-04   -0.36162E-06
   206    0.54612E+04    0.65109E+00    0.11686E-01   -0.13167E+02    0.59305E-07    0.27148E-04   -0.34789E-06
   207    0.54727E+04    0.65065E+00    0.11627E-01   -0.11958E+02    0.58987E-07    0.27170E-04   -0.33407E-06
   208    0.54836E+04    0.65104E+00    0.11575E-01   -0.10729E+02    0.58671E-07    0.27187E-04   -0.32015E-06
   209    0.54939E+04    0.65230E+00    0.11530E-01   -0.94818E+01    0.58358E-07    0.27199E-04   -0.30614E-06
