#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   149    0.41128E+04   -0.43816E+02    0.12519E-06   -0.43816E+02    0.10445E+01   -0.47872E-08    0.12519E-06   -0.47872E-08    0.36776E-11
   150    0.41443E+04   -0.43939E+02    0.13043E-06   -0.43939E+02    0.10418E+01   -0.46164E-08    0.13043E-06   -0.46164E-08    0.36057E-11
   151    0.41756E+04   -0.44044E+02    0.13535E-06   -0.44044E+02    0.10387E+01   -0.44626E-08    0.13535E-06   -0.44626E-08    0.35355E-11
   152    0.42067E+04   -0.44127E+02    0.13997E-06   -0.44127E+02    0.10351E+01   -0.43255E-08    0.13997E-06   -0.43255E-08    0.34669E-11
   153    0.42378E+04   -0.44188E+02    0.14428E-06   -0.44188E+02    0.10311E+01   -0.42043E-08    0.14428E-06   -0.42043E-08    0.34000E-11
   154    0.42686E+04   -0.44227E+02    0.14832E-06   -0.44227E+02    0.10268E+01   -0.40979E-08    0.14832E-06   -0.40979E-08    0.33347E-11
   155    0.42993E+04   -0.44245E+02    0.15207E-06   -0.44245E+02    0.10221E+01   -0.40054E-08    0.15207E-06   -0.40054E-08    0.32710E-11
   156    0.43296E+04   -0.44241E+02    0.15557E-06   -0.44241E+02    0.10170E+01   -0.39260E-08    0.15557E-06   -0.39260E-08    0.32088E-11
   157    0.43599E+04   -0.44214E+02    0.15880E-06   -0.44214E+02    0.10115E+01   -0.38586E-08    0.15880E-06   -0.38586E-08    0.31480E-11
   158    0.43900E+04   -0.44165E+02    0.16180E-06   -0.44165E+02    0.10057E+01   -0.38023E-08    0.16180E-06   -0.38023E-08    0.30888E-11
   159    0.44198E+04   -0.44093E+02    0.16456E-06   -0.44093E+02    0.99949E+00   -0.37562E-08    0.16456E-06   -0.37562E-08    0.30309E-11
   160    0.44495E+04   -0.43996E+02    0.16710E-06   -0.43996E+02    0.99293E+00   -0.37193E-08    0.16710E-06   -0.37193E-08    0.29744E-11
   161    0.44789E+04   -0.43877E+02    0.16943E-06   -0.43877E+02    0.98613E+00   -0.36907E-08    0.16943E-06   -0.36907E-08    0.29193E-11
   162    0.45082E+04   -0.43736E+02    0.17156E-06   -0.43736E+02    0.97892E+00   -0.36695E-08    0.17156E-06   -0.36695E-08    0.28655E-11
   163    0.45373E+04   -0.43570E+02    0.17349E-06   -0.43570E+02    0.97139E+00   -0.36547E-08    0.17349E-06   -0.36547E-08    0.28130E-11
   164    0.45660E+04   -0.43381E+02    0.17525E-06   -0.43381E+02    0.96359E+00   -0.36454E-08    0.17525E-06   -0.36454E-08    0.27618E-11
   165    0.45947E+04   -0.43167E+02    0.17684E-06   -0.43167E+02    0.95546E+00   -0.36406E-08    0.17684E-06   -0.36406E-08    0.27117E-11
   166    0.46231E+04   -0.42930E+02    0.17828E-06   -0.42930E+02    0.94712E+00   -0.36395E-08    0.17828E-06   -0.36395E-08    0.26629E-11
   167    0.46513E+04   -0.42669E+02    0.17956E-06   -0.42669E+02    0.93837E+00   -0.36410E-08    0.17956E-06   -0.36410E-08    0.26152E-11
   168    0.46791E+04   -0.42384E+02    0.18071E-06   -0.42384E+02    0.92956E+00   -0.36442E-08    0.18071E-06   -0.36442E-08    0.25686E-11
   169    0.47067E+04   -0.42073E+02    0.18174E-06   -0.42073E+02    0.92039E+00   -0.36482E-08    0.18174E-06   -0.36482E-08    0.25231E-11
   170    0.47340E+04   -0.41738E+02    0.18265E-06   -0.41738E+02    0.91109E+00   -0.36520E-08    0.18265E-06   -0.36520E-08    0.24786E-11
   171    0.47609E+04   -0.41378E+02    0.18345E-06   -0.41378E+02    0.90164E+00   -0.36547E-08    0.18345E-06   -0.36547E-08    0.24351E-11
   172    0.47875E+04   -0.40993E+02    0.18416E-06   -0.40993E+02    0.89197E+00   -0.36554E-08    0.18416E-06   -0.36554E-08    0.23927E-11
   173    0.48138E+04   -0.40583E+02    0.18479E-06   -0.40583E+02    0.88208E+00   -0.36532E-08    0.18479E-06   -0.36532E-08    0.23511E-11
