#    L    TT             EE             BB             TE             PP             TP             EP          
   159    0.44199E+04    0.99947E+00    0.00000E+00   -0.44092E+02    0.77829E-07    0.19050E-04   -0.62199E-06
   160    0.44495E+04    0.99291E+00    0.00000E+00   -0.43996E+02    0.77349E-07    0.19458E-04   -0.62035E-06
   161    0.44790E+04    0.98611E+00    0.00000E+00   -0.43877E+02    0.76874E-07    0.19845E-04   -0.61962E-06
   162    0.45082E+04    0.97890E+00    0.00000E+00   -0.43735E+02    0.76402E-07    0.20213E-04   -0.61969E-06
   163    0.45374E+04    0.97136E+00    0.00000E+00   -0.43569E+02    0.75935E-07    0.20562E-04   -0.62043E-06
   164    0.45661E+04    0.96357E+00    0.00000E+00   -0.43380E+02    0.75472E-07    0.20893E-04   -0.62173E-06
   165    0.45947E+04    0.95543E+00    0.00000E+00   -0.43166E+02    0.75013E-07    0.21208E-04   -0.62348E-06
   166    0.46231E+04    0.94710E+00    0.00000E+00   -0.42929E+02    0.74558E-07    0.21507E-04   -0.62554E-06
   167    0.46513E+04    0.93834E+00    0.00000E+00   -0.42669E+02    0.74107E-07    0.21792E-04   -0.62781E-06
   168    0.46792E+04    0.92953E+00    0.00000E+00   -0.42383E+02    0.73661E-07    0.22062E-04   -0.63017E-06
   169    0.47067E+04    0.92036E+00    0.00000E+00   -0.42072E+02    0.73218E-07    0.22320E-04   -0.63249E-06
   170    0.47341E+04    0.91106E+00    0.00000E+00   -0.41737E+02    0.72779E-07    0.22567E-04   -0.63467E-06
   171    0.47610E+04    0.90161E+00    0.00000E+00   -0.41377E+02    0.72344E-07    0.22803E-04   -0.63657E-06
   172    0.47876E+04    0.89194E+00    0.00000E+00   -0.40991E+02    0.71913E-07    0.23029E-04   -0.63810E-06
   173    0.48138E+04    0.88204E+00    0.00000E+00   -0.40581E+02    0.71486E-07    0.23246E-04   -0.63912E-06
   174    0.48398E+04    0.87222E+00    0.00000E+00   -0.40147E+02    0.71063E-07    0.23456E-04   -0.63952E-06
   175    0.48655E+04    0.86215E+00    0.00000E+00   -0.39686E+02    0.70643E-07    0.23660E-04   -0.63918E-06
   176    0.48907E+04    0.85207E+00    0.00000E+00   -0.39201E+02    0.70227E-07    0.23857E-04   -0.63801E-06
   177    0.49155E+04    0.84190E+00    0.00000E+00   -0.38691E+02    0.69815E-07    0.24049E-04   -0.63601E-06
   178    0.49400E+04    0.83184E+00    0.00000E+00   -0.38155E+02    0.69407E-07    0.24236E-04   -0.63322E-06
   179    0.49641E+04    0.82160E+00    0.00000E+00   -0.37594E+02    0.69002E-07    0.24417E-04   -0.62965E-06
   180    0.49880E+04    0.81139E+00    0.00000E+00   -0.37008E+02    0.68600E-07    0.24592E-04   -0.62535E-06
   181    0.50113E+04    0.80121E+00    0.00000E+00   -0.36398E+02    0.68203E-07    0.24761E-04   -0.62034E-06
   182    0.50343E+04    0.79112E+00    0.00000E+00   -0.35762E+02    0.67808E-07    0.24925E-04   -0.61464E-06
   183    0.50569E+04    0.78105E+00    0.00000E+00   -0.35101E+02    0.67418E-07    0.25083E-04   -0.60829E-06
   184    0.50791E+04    0.77106E+00    0.00000E+00   -0.34414E+02    0.67030E-07    0.25236E-04   -0.60132E-06
   185    0.51009E+04    0.76129E+00    0.00000E+00   -0.33704E+02    0.66646E-07    0.25383E-04   -0.59375E-06
   186    0.51220E+04    0.75159E+00    0.00000E+00   -0.32968E+02    0.66266E-07    0.25524E-04   -0.58562E-06
   187    0.51430E+04    0.74211E+00    0.00000E+00   -0.32207E+02    0.65889E-07    0.25660E-04   -0.57695E-06
