#    L    TT             EE             TE             PP             TP          
   175    0.48654E+04    0.86219E+00   -0.39688E+02    0.32273E+07    0.55378E+03
   176    0.48906E+04    0.85211E+00   -0.39202E+02    0.32084E+07    0.55849E+03
   177    0.49155E+04    0.84193E+00   -0.38693E+02    0.31896E+07    0.56303E+03
   178    0.49400E+04    0.83188E+00   -0.38157E+02    0.31709E+07    0.56742E+03
   179    0.49640E+04    0.82164E+00   -0.37596E+02    0.31525E+07    0.57165E+03
   180    0.49879E+04    0.81143E+00   -0.37010E+02    0.31342E+07    0.57572E+03
   181    0.50113E+04    0.80125E+00   -0.36400E+02    0.31160E+07    0.57964E+03
   182    0.50343E+04    0.79116E+00   -0.35764E+02    0.30980E+07    0.58340E+03
   183    0.50568E+04    0.78108E+00   -0.35103E+02    0.30802E+07    0.58701E+03
   184    0.50790E+04    0.77109E+00   -0.34417E+02    0.30626E+07    0.59047E+03
   185    0.51009E+04    0.76132E+00   -0.33707E+02    0.30450E+07    0.59378E+03
   186    0.51219E+04    0.75163E+00   -0.32971E+02    0.30277E+07    0.59694E+03
   187    0.51429E+04    0.74214E+00   -0.32210E+02    0.30105E+07    0.59996E+03
   188    0.51634E+04    0.73285E+00   -0.31425E+02    0.29934E+07    0.60283E+03
   189    0.51834E+04    0.72378E+00   -0.30615E+02    0.29765E+07    0.60555E+03
   190    0.52033E+04    0.71497E+00   -0.29782E+02    0.29598E+07    0.60813E+03
   191    0.52224E+04    0.70644E+00   -0.28923E+02    0.29432E+07    0.61057E+03
   192    0.52412E+04    0.69821E+00   -0.28040E+02    0.29267E+07    0.61286E+03
   193    0.52594E+04    0.69032E+00   -0.27135E+02    0.29104E+07    0.61502E+03
   194    0.52773E+04    0.68278E+00   -0.26204E+02    0.28942E+07    0.61704E+03
   195    0.52947E+04    0.67564E+00   -0.25251E+02    0.28782E+07    0.61892E+03
   196    0.53116E+04    0.66891E+00   -0.24274E+02    0.28622E+07    0.62066E+03
   197    0.53281E+04    0.66264E+00   -0.23275E+02    0.28465E+07    0.62227E+03
   198    0.53441E+04    0.65685E+00   -0.22253E+02    0.28308E+07    0.62375E+03
