#    L    TT             EE             BB             TE          
   367    0.22484E+04    0.18431E+02    0.37221E-01    0.76652E+02
   368    0.22269E+04    0.18554E+02    0.37328E-01    0.75138E+02
   369    0.22059E+04    0.18674E+02    0.37434E-01    0.73602E+02
   370    0.21853E+04    0.18792E+02    0.37541E-01    0.72049E+02
   371    0.21649E+04    0.18907E+02    0.37647E-01    0.70476E+02
   372    0.21450E+04    0.19019E+02    0.37754E-01    0.68886E+02
   373    0.21255E+04    0.19128E+02    0.37860E-01    0.67277E+02
   374    0.21063E+04    0.19235E+02    0.37966E-01    0.65653E+02
   375    0.20875E+04    0.19339E+02    0.38072E-01    0.64012E+02
   376    0.20691E+04    0.19440E+02    0.38179E-01    0.62356E+02
   377    0.20512E+04    0.19538E+02    0.38285E-01    0.60686E+02
   378    0.20335E+04    0.19633E+02    0.38391E-01    0.59000E+02
   379    0.20163E+04    0.19725E+02    0.38497E-01    0.57302E+02
   380    0.19996E+04    0.19815E+02    0.38603E-01    0.55590E+02
   381    0.19831E+04    0.19899E+02    0.38709E-01    0.53866E+02
   382    0.19671E+04    0.19981E+02    0.38816E-01    0.52131E+02
   383    0.19515E+04    0.20060E+02    0.38922E-01    0.50384E+02
   384    0.19364E+04    0.20136E+02    0.39029E-01    0.48627E+02
   385    0.19215E+04    0.20209E+02    0.39135E-01    0.46861E+02
   386    0.19071E+04    0.20279E+02    0.39242E-01    0.45085E+02
   387    0.18931E+04    0.20344E+02    0.39349E-01    0.43301E+02
   388    0.18795E+04    0.20407E+02    0.39456E-01    0.41510E+02
   389    0.18663E+04    0.20464E+02    0.39563E-01    0.39711E+02
   390    0.18536E+04    0.20521E+02    0.39671E-01    0.37907E+02
   391    0.18413E+04    0.20573E+02    0.39779E-01    0.36096E+02
   392    0.18293E+04    0.20624E+02    0.39887E-01    0.34281E+02
   393    0.18178E+04    0.20670E+02    0.39995E-01    0.32461E+02
