#    L    TT             EE             TE             PP             TP          
   283    0.47162E+04    0.50220E+01    0.97994E+02    0.18947E+07    0.32827E+03
   284    0.46887E+04    0.51533E+01    0.99064E+02    0.18865E+07    0.32539E+03
   285    0.46609E+04    0.52866E+01    0.10011E+03    0.18784E+07    0.32251E+03
   286    0.46327E+04    0.54216E+01    0.10112E+03    0.18703E+07    0.31961E+03
   287    0.46043E+04    0.55585E+01    0.10212E+03    0.18623E+07    0.31671E+03
   288    0.45756E+04    0.56973E+01    0.10308E+03    0.18544E+07    0.31379E+03
   289    0.45467E+04    0.58378E+01    0.10403E+03    0.18465E+07    0.31086E+03
   290    0.45175E+04    0.59800E+01    0.10494E+03    0.18386E+07    0.30793E+03
   291    0.44882E+04    0.61246E+01    0.10582E+03    0.18308E+07    0.30498E+03
   292    0.44583E+04    0.62704E+01    0.10668E+03    0.18231E+07    0.30203E+03
   293    0.44285E+04    0.64172E+01    0.10750E+03    0.18154E+07    0.29907E+03
   294    0.43984E+04    0.65664E+01    0.10830E+03    0.18077E+07    0.29610E+03
   295    0.43682E+04    0.67166E+01    0.10907E+03    0.18001E+07    0.29313E+03
   296    0.43377E+04    0.68693E+01    0.10981E+03    0.17925E+07    0.29015E+03
   297    0.43071E+04    0.70221E+01    0.11052E+03    0.17850E+07    0.28716E+03
   298    0.42761E+04    0.71775E+01    0.11120E+03    0.17776E+07    0.28417E+03
   299    0.42451E+04    0.73346E+01    0.11185E+03    0.17702E+07    0.28117E+03
   300    0.42139E+04    0.74920E+01    0.11246E+03    0.17628E+07    0.27817E+03
   301    0.41825E+04    0.76511E+01    0.11305E+03    0.17555E+07    0.27517E+03
   302    0.41510E+04    0.78113E+01    0.11361E+03    0.17482E+07    0.27216E+03
   303    0.41194E+04    0.79732E+01    0.11413E+03    0.17410E+07    0.26915E+03
   304    0.40876E+04    0.81370E+01    0.11462E+03    0.17338E+07    0.26614E+03
   305    0.40557E+04    0.83011E+01    0.11508E+03    0.17266E+07    0.26313E+03
   306    0.40237E+04    0.84663E+01    0.11550E+03    0.17195E+07    0.26011E+03
   307    0.39916E+04    0.86326E+01    0.11589E+03    0.17125E+07    0.25710E+03
   308    0.39595E+04    0.88014E+01    0.11626E+03    0.17054E+07    0.25409E+03
   309    0.39273E+04    0.89699E+01    0.11658E+03    0.16985E+07    0.25107E+03
   310    0.38950E+04    0.91388E+01    0.11687E+03    0.16915E+07    0.24806E+03
