#    L    TT             EE             BB             TE          
   276    0.37818E+01    0.20246E-01    0.12502E-01   -0.10893E+00
   277    0.36828E+01    0.20395E-01    0.12458E-01   -0.10705E+00
   278    0.35844E+01    0.20541E-01    0.12412E-01   -0.10505E+00
   279    0.34867E+01    0.20683E-01    0.12364E-01   -0.10293E+00
   280    0.33898E+01    0.20820E-01    0.12313E-01   -0.10072E+00
   281    0.32938E+01    0.20952E-01    0.12261E-01   -0.98396E-01
   282    0.31989E+01    0.21080E-01    0.12206E-01   -0.95981E-01
   283    0.31052E+01    0.21202E-01    0.12150E-01   -0.93475E-01
   284    0.30128E+01    0.21319E-01    0.12091E-01   -0.90885E-01
   285    0.29217E+01    0.21429E-01    0.12031E-01   -0.88213E-01
   286    0.28323E+01    0.21533E-01    0.11969E-01   -0.85468E-01
   287    0.27444E+01    0.21631E-01    0.11905E-01   -0.82652E-01
   288    0.26584E+01    0.21722E-01    0.11839E-01   -0.79772E-01
   289    0.25742E+01    0.21806E-01    0.11772E-01   -0.76834E-01
   290    0.24920E+01    0.21882E-01    0.11702E-01   -0.73841E-01
   291    0.24120E+01    0.21950E-01    0.11632E-01   -0.70800E-01
   292    0.23342E+01    0.22010E-01    0.11559E-01   -0.67715E-01
   293    0.22587E+01    0.22062E-01    0.11485E-01   -0.64593E-01
   294    0.21857E+01    0.22105E-01    0.11410E-01   -0.61438E-01
   295    0.21153E+01    0.22139E-01    0.11333E-01   -0.58255E-01
   296    0.20476E+01    0.22163E-01    0.11254E-01   -0.55050E-01
   297    0.19828E+01    0.22178E-01    0.11175E-01   -0.51828E-01
   298    0.19209E+01    0.22183E-01    0.11094E-01   -0.48594E-01
   299    0.18621E+01    0.22178E-01    0.11011E-01   -0.45353E-01
   300    0.18064E+01    0.22162E-01    0.10928E-01   -0.42111E-01
   301    0.17540E+01    0.22135E-01    0.10843E-01   -0.38873E-01
   302    0.17049E+01    0.22097E-01    0.10757E-01   -0.35641E-01
   303    0.16589E+01    0.22049E-01    0.10670E-01   -0.32418E-01
   304    0.16159E+01    0.21991E-01    0.10582E-01   -0.29205E-01
   305    0.15760E+01    0.21923E-01    0.10493E-01   -0.26006E-01
   306    0.15390E+01    0.21846E-01    0.10403E-01   -0.22822E-01
   307    0.15048E+01    0.21760E-01    0.10313E-01   -0.19655E-01
   308    0.14734E+01    0.21664E-01    0.10222E-01   -0.16508E-01
   309    0.14447E+01    0.21560E-01    0.10130E-01   -0.13384E-01
   310    0.14186E+01    0.21448E-01    0.10038E-01   -0.10284E-01
   311    0.13951E+01    0.21328E-01    0.99448E-02   -0.72110E-02
   312    0.13740E+01    0.21200E-01    0.98517E-02   -0.41669E-02
   313    0.13554E+01    0.21064E-01    0.97583E-02   -0.11541E-02
   314    0.13390E+01    0.20921E-01    0.96647E-02    0.18251E-02
   315    0.13249E+01    0.20772E-01    0.95710E-02    0.47685E-02
   316    0.13130E+01    0.20615E-01    0.94771E-02    0.76737E-02
   317    0.13031E+01    0.20453E-01    0.93833E-02    0.10539E-01
   318    0.12953E+01    0.20284E-01    0.92896E-02    0.13361E-01
   319    0.12894E+01    0.20110E-01    0.91961E-02    0.16138E-01
   320    0.12854E+01    0.19930E-01    0.91028E-02    0.18868E-01
   321    0.12831E+01    0.19745E-01    0.90098E-02    0.21548E-01
   322    0.12826E+01    0.19555E-01    0.89172E-02    0.24177E-01
   323    0.12837E+01    0.19361E-01    0.88250E-02    0.26751E-01
   324    0.12864E+01    0.19162E-01    0.87335E-02    0.29269E-01
   325    0.12905E+01    0.18959E-01    0.86425E-02    0.31729E-01
   326    0.12961E+01    0.18753E-01    0.85522E-02    0.34128E-01
   327    0.13030E+01    0.18543E-01    0.84627E-02    0.36463E-01
   328    0.13111E+01    0.18330E-01    0.83741E-02    0.38733E-01
   329    0.13205E+01    0.18114E-01    0.82864E-02    0.40935E-01
   330    0.13309E+01    0.17895E-01    0.81996E-02    0.43067E-01
   331    0.13424E+01    0.17674E-01    0.81140E-02    0.45127E-01
   332    0.13549E+01    0.17452E-01    0.80295E-02    0.47113E-01
   333    0.13682E+01    0.17227E-01    0.79463E-02    0.49021E-01
   334    0.13823E+01    0.17001E-01    0.78643E-02    0.50851E-01
   335    0.13972E+01    0.16774E-01    0.77838E-02    0.52599E-01
   336    0.14127E+01    0.16547E-01    0.77047E-02    0.54263E-01
   337    0.14288E+01    0.16318E-01    0.76271E-02    0.55841E-01
   338    0.14454E+01    0.16089E-01    0.75511E-02    0.57332E-01
   339    0.14624E+01    0.15861E-01    0.74769E-02    0.58731E-01
   340    0.14798E+01    0.15633E-01    0.74044E-02    0.60038E-01
   341    0.14974E+01    0.15405E-01    0.73337E-02    0.61250E-01
   342    0.15153E+01    0.15178E-01    0.72650E-02    0.62364E-01
   343    0.15332E+01    0.14952E-01    0.71982E-02    0.63379E-01
   344    0.15513E+01    0.14728E-01    0.71336E-02    0.64292E-01
   345    0.15693E+01    0.14506E-01    0.70710E-02    0.65101E-01
   346    0.15872E+01    0.14286E-01    0.70107E-02    0.65803E-01
   347    0.16049E+01    0.14068E-01    0.69527E-02    0.66397E-01
   348    0.16224E+01    0.13852E-01    0.68971E-02    0.66880E-01
   349    0.16395E+01    0.13640E-01    0.68439E-02    0.67249E-01
   350    0.16562E+01    0.13430E-01    0.67932E-02    0.67503E-01
   351    0.16725E+01    0.13225E-01    0.67451E-02    0.67640E-01
