#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   108    0.27900E+04   -0.25778E+02   -0.21393E-06   -0.25778E+02    0.80243E+00   -0.50165E-08   -0.21393E-06   -0.50165E-08    0.91351E-11
   109    0.28208E+04   -0.26392E+02   -0.18710E-06   -0.26392E+02    0.81498E+00   -0.47363E-08   -0.18710E-06   -0.47363E-08    0.89078E-11
   110    0.28517E+04   -0.27002E+02   -0.16177E-06   -0.27002E+02    0.82730E+00   -0.45163E-08   -0.16177E-06   -0.45163E-08    0.86874E-11
   111    0.28828E+04   -0.27611E+02   -0.13788E-06   -0.27611E+02    0.83945E+00   -0.43644E-08   -0.13788E-06   -0.43644E-08    0.84735E-11
   112    0.29140E+04   -0.28217E+02   -0.11535E-06   -0.28217E+02    0.85137E+00   -0.42774E-08   -0.11535E-06   -0.42774E-08    0.82660E-11
   113    0.29454E+04   -0.28819E+02   -0.94140E-07   -0.28819E+02    0.86305E+00   -0.42499E-08   -0.94140E-07   -0.42499E-08    0.80645E-11
   114    0.29770E+04   -0.29416E+02   -0.74177E-07   -0.29416E+02    0.87442E+00   -0.42760E-08   -0.74177E-07   -0.42760E-08    0.78691E-11
   115    0.30087E+04   -0.30009E+02   -0.55406E-07   -0.30009E+02    0.88562E+00   -0.43501E-08   -0.55406E-07   -0.43501E-08    0.76795E-11
   116    0.30405E+04   -0.30596E+02   -0.37766E-07   -0.30596E+02    0.89644E+00   -0.44666E-08   -0.37766E-07   -0.44666E-08    0.74956E-11
   117    0.30726E+04   -0.31178E+02   -0.21199E-07   -0.31178E+02    0.90695E+00   -0.46196E-08   -0.21199E-07   -0.46196E-08    0.73171E-11
   118    0.31048E+04   -0.31754E+02   -0.56451E-08   -0.31754E+02    0.91729E+00   -0.48035E-08   -0.56451E-08   -0.48035E-08    0.71440E-11
   119    0.31370E+04   -0.32322E+02    0.89560E-08   -0.32322E+02    0.92733E+00   -0.50127E-08    0.89560E-08   -0.50127E-08    0.69761E-11
   120    0.31694E+04   -0.32882E+02    0.22663E-07   -0.32882E+02    0.93690E+00   -0.52415E-08    0.22663E-07   -0.52415E-08    0.68133E-11
   121    0.32019E+04   -0.33435E+02    0.35537E-07   -0.33435E+02    0.94631E+00   -0.54841E-08    0.35537E-07   -0.54841E-08    0.66552E-11
   122    0.32343E+04   -0.33980E+02    0.47635E-07   -0.33980E+02    0.95527E+00   -0.57349E-08    0.47635E-07   -0.57349E-08    0.65019E-11
   123    0.32669E+04   -0.34517E+02    0.59019E-07   -0.34517E+02    0.96383E+00   -0.59882E-08    0.59019E-07   -0.59882E-08    0.63532E-11
   124    0.32996E+04   -0.35042E+02    0.69748E-07   -0.35042E+02    0.97209E+00   -0.62383E-08    0.69748E-07   -0.62383E-08    0.62088E-11
   125    0.33322E+04   -0.35558E+02    0.79880E-07   -0.35558E+02    0.97996E+00   -0.64795E-08    0.79880E-07   -0.64795E-08    0.60686E-11
   126    0.33650E+04   -0.36065E+02    0.89476E-07   -0.36065E+02    0.98751E+00   -0.67061E-08    0.89476E-07   -0.67061E-08    0.59326E-11
   127    0.33977E+04   -0.36561E+02    0.98595E-07   -0.36561E+02    0.99461E+00   -0.69124E-08    0.98595E-07   -0.69124E-08    0.58004E-11
   128    0.34305E+04   -0.37046E+02    0.10730E-06   -0.37046E+02    0.10014E+01   -0.70928E-08    0.10730E-06   -0.70928E-08    0.56719E-11
   129    0.34633E+04   -0.37519E+02    0.11564E-06   -0.37519E+02    0.10077E+01   -0.72416E-08    0.11564E-06   -0.72416E-08    0.55471E-11
   130    0.34961E+04   -0.37979E+02    0.12369E-06   -0.37979E+02    0.10136E+01   -0.73531E-08    0.12369E-06   -0.73531E-08    0.54256E-11
   131    0.35290E+04   -0.38428E+02    0.13149E-06   -0.38428E+02    0.10191E+01   -0.74229E-08    0.13149E-06   -0.74229E-08    0.53074E-11
   132    0.35619E+04   -0.38863E+02    0.13904E-06   -0.38863E+02    0.10242E+01   -0.74529E-08    0.13904E-06   -0.74529E-08    0.51925E-11
   133    0.35948E+04   -0.39286E+02    0.14636E-06   -0.39286E+02    0.10289E+01   -0.74458E-08    0.14636E-06   -0.74458E-08    0.50806E-11
   134    0.36276E+04   -0.39693E+02    0.15344E-06   -0.39693E+02    0.10333E+01   -0.74049E-08    0.15344E-06   -0.74049E-08    0.49717E-11
   135    0.36605E+04   -0.40087E+02    0.16027E-06   -0.40087E+02    0.10371E+01   -0.73331E-08    0.16027E-06   -0.73331E-08    0.48658E-11
   136    0.36932E+04   -0.40464E+02    0.16686E-06   -0.40464E+02    0.10405E+01   -0.72334E-08    0.16686E-06   -0.72334E-08    0.47628E-11
   137    0.37260E+04   -0.40826E+02    0.17320E-06   -0.40826E+02    0.10434E+01   -0.71090E-08    0.17320E-06   -0.71090E-08    0.46625E-11
   138    0.37587E+04   -0.41173E+02    0.17930E-06   -0.41173E+02    0.10459E+01   -0.69627E-08    0.17930E-06   -0.69627E-08    0.45649E-11
   139    0.37912E+04   -0.41502E+02    0.18516E-06   -0.41502E+02    0.10481E+01   -0.67978E-08    0.18516E-06   -0.67978E-08    0.44700E-11
   140    0.38238E+04   -0.41815E+02    0.19076E-06   -0.41815E+02    0.10497E+01   -0.66171E-08    0.19076E-06   -0.66171E-08    0.43776E-11
   141    0.38562E+04   -0.42111E+02    0.19612E-06   -0.42111E+02    0.10509E+01   -0.64238E-08    0.19612E-06   -0.64238E-08    0.42877E-11
   142    0.38887E+04   -0.42388E+02    0.20122E-06   -0.42388E+02    0.10516E+01   -0.62209E-08    0.20122E-06   -0.62209E-08    0.42002E-11
   143    0.39211E+04   -0.42649E+02    0.20608E-06   -0.42649E+02    0.10519E+01   -0.60113E-08    0.20608E-06   -0.60113E-08    0.41150E-11
   144    0.39533E+04   -0.42891E+02    0.21068E-06   -0.42891E+02    0.10517E+01   -0.57982E-08    0.21068E-06   -0.57982E-08    0.40321E-11
   145    0.39853E+04   -0.43115E+02    0.21503E-06   -0.43115E+02    0.10512E+01   -0.55846E-08    0.21503E-06   -0.55846E-08    0.39512E-11
   146    0.40175E+04   -0.43320E+02    0.21913E-06   -0.43320E+02    0.10502E+01   -0.53735E-08    0.21913E-06   -0.53735E-08    0.38725E-11
   147    0.40494E+04   -0.43504E+02    0.22297E-06   -0.43504E+02    0.10487E+01   -0.51679E-08    0.22297E-06   -0.51679E-08    0.37957E-11
   148    0.40811E+04   -0.43670E+02    0.22656E-06   -0.43670E+02    0.10468E+01   -0.49709E-08    0.22656E-06   -0.49709E-08    0.37209E-11
   149    0.41129E+04   -0.43816E+02    0.22989E-06   -0.43816E+02    0.10445E+01   -0.47855E-08    0.22989E-06   -0.47855E-08    0.36479E-11
   150    0.41443E+04   -0.43940E+02    0.23296E-06   -0.43940E+02    0.10418E+01   -0.46148E-08    0.23296E-06   -0.46148E-08    0.35767E-11
   151    0.41757E+04   -0.44044E+02    0.23578E-06   -0.44044E+02    0.10387E+01   -0.44611E-08    0.23578E-06   -0.44611E-08    0.35072E-11
