#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.146845E+00   0.165038E+07   0.164202E+07   0.145595E+02   0.946732E+01   0.000000E+00   0.164898E+07   0.164898E+07   0.164898E+07  -0.427131E-01   0.911598E+06   0.911495E+06   0.234939E+00
   0.151916E+00   0.156016E+07   0.155157E+07   0.128557E+02   0.835821E+01   0.000000E+00   0.155872E+07   0.155872E+07   0.155872E+07  -0.403690E-01   0.861700E+06   0.861597E+06   0.226333E+00
   0.156987E+00   0.148446E+07   0.147602E+07   0.114574E+02   0.745025E+01   0.000000E+00   0.148304E+07   0.148304E+07   0.148304E+07  -0.384153E-01   0.819867E+06   0.819767E+06   0.211876E+00
   0.162057E+00   0.142337E+07   0.141542E+07   0.103069E+02   0.670121E+01   0.000000E+00   0.142204E+07   0.142204E+07   0.142204E+07  -0.368300E-01   0.786141E+06   0.786048E+06   0.192817E+00
   0.167128E+00   0.137394E+07   0.136673E+07   0.935656E+01   0.608391E+01   0.000000E+00   0.137273E+07   0.137273E+07   0.137273E+07  -0.355564E-01   0.758881E+06   0.758795E+06   0.171594E+00
   0.172199E+00   0.133209E+07   0.132571E+07   0.854620E+01   0.555711E+01   0.000000E+00   0.133102E+07   0.133102E+07   0.133102E+07  -0.344767E-01   0.735820E+06   0.735742E+06   0.150986E+00
   0.177269E+00   0.129380E+07   0.128818E+07   0.783290E+01   0.509321E+01   0.000000E+00   0.129286E+07   0.129286E+07   0.129286E+07  -0.334878E-01   0.714723E+06   0.714652E+06   0.133329E+00
   0.182340E+00   0.125542E+07   0.125038E+07   0.718404E+01   0.467127E+01   0.000000E+00   0.125458E+07   0.125458E+07   0.125458E+07  -0.324961E-01   0.693562E+06   0.693496E+06   0.119981E+00
   0.187411E+00   0.121434E+07   0.120962E+07   0.657670E+01   0.427586E+01   0.000000E+00   0.121354E+07   0.121354E+07   0.121354E+07  -0.314294E-01   0.670878E+06   0.670815E+06   0.111160E+00
   0.192482E+00   0.116985E+07   0.116522E+07   0.600798E+01   0.390669E+01   0.000000E+00   0.116908E+07   0.116908E+07   0.116908E+07  -0.302825E-01   0.646294E+06   0.646233E+06   0.106132E+00
   0.197552E+00   0.112320E+07   0.111849E+07   0.547613E+01   0.356096E+01   0.000000E+00   0.112241E+07   0.112241E+07   0.112241E+07  -0.290745E-01   0.620495E+06   0.620434E+06   0.103570E+00
   0.202623E+00   0.107647E+07   0.107160E+07   0.498685E+01   0.324218E+01   0.000000E+00   0.107565E+07   0.107565E+07   0.107565E+07  -0.278578E-01   0.594649E+06   0.594587E+06   0.101965E+00
   0.207694E+00   0.103178E+07   0.102677E+07   0.454973E+01   0.295825E+01   0.000000E+00   0.103093E+07   0.103093E+07   0.103093E+07  -0.267021E-01   0.569928E+06   0.569866E+06   0.100004E+00
   0.212764E+00   0.990904E+06   0.985841E+06   0.416380E+01   0.270741E+01   0.000000E+00   0.990053E+06   0.990053E+06   0.990053E+06  -0.256442E-01   0.547328E+06   0.547266E+06   0.968455E-01
   0.217835E+00   0.955044E+06   0.950057E+06   0.382945E+01   0.249038E+01   0.000000E+00   0.954207E+06   0.954207E+06   0.954207E+06  -0.247196E-01   0.527511E+06   0.527451E+06   0.922195E-01
   0.222906E+00   0.924435E+06   0.919649E+06   0.353993E+01   0.230207E+01   0.000000E+00   0.923631E+06   0.923631E+06   0.923631E+06  -0.239271E-01   0.510608E+06   0.510551E+06   0.863643E-01
   0.227976E+00   0.898312E+06   0.893819E+06   0.328764E+01   0.213764E+01   0.000000E+00   0.897558E+06   0.897558E+06   0.897558E+06  -0.232475E-01   0.496194E+06   0.496139E+06   0.798516E-01
   0.233047E+00   0.875288E+06   0.871125E+06   0.306512E+01   0.199278E+01   0.000000E+00   0.874589E+06   0.874589E+06   0.874589E+06  -0.226505E-01   0.483496E+06   0.483444E+06   0.733764E-01
   0.238118E+00   0.853805E+06   0.849956E+06   0.286405E+01   0.186205E+01   0.000000E+00   0.853159E+06   0.853159E+06   0.853159E+06  -0.220956E-01   0.471648E+06   0.471600E+06   0.675603E-01
   0.243189E+00   0.832484E+06   0.828887E+06   0.267742E+01   0.174073E+01   0.000000E+00   0.831880E+06   0.831880E+06   0.831880E+06  -0.215447E-01   0.459885E+06   0.459839E+06   0.628095E-01
   0.248259E+00   0.810402E+06   0.806972E+06   0.250115E+01   0.162616E+01   0.000000E+00   0.809826E+06   0.809826E+06   0.809826E+06  -0.209740E-01   0.447692E+06   0.447648E+06   0.592536E-01
